Date;Prevision;Vente
20/10/2022;22000;25050.18
19/10/2022;19000;21464.61
18/10/2022;16000;18110.52
17/10/2022;10000;11651.76
16/10/2022;15000;21237.39
15/10/2022;22000;24624.29
14/10/2022;21000;22338.9
13/10/2022;23000;21577.4
12/10/2022;17000;21287.52
11/10/2022;15000;13571.74
10/10/2022;15000;10289.05
09/10/2022;13000;16999.98
08/10/2022;22000;24856.61
07/10/2022;17000;22004.33
06/10/2022;20000;26728.49
05/10/2022;17000;19703.68
04/10/2022;14000;16459.53
03/10/2022;12000;12248.34
02/10/2022;14000;15024.59
01/10/2022;21000;20341.09
30/09/2022;17000;20487.15
29/09/2022;20000;22717.92
28/09/2022;17000;20578.09
27/09/2022;14000;13407.67
26/09/2022;12000;10978.02
25/09/2022;14000;13151.22
24/09/2022;20000;21048.53
23/09/2022;18000;22843.73
22/09/2022;19000;24546.48
21/09/2022;16000;20091.87
20/09/2022;14000;13914.92
19/09/2022;12000;11042.43
18/09/2022;14000;13518.50
17/09/2022;21000;17073.47
16/09/2022;20000;17286.53
15/09/2022;21000;19611.95
14/09/2022;18000;14208.68
13/09/2022;15000;15347.98
12/09/2022;13000;12159.54
11/09/2022;16000;15269.98
10/09/2022;22000;24161.10
09/09/2022;20000;18808.28
08/09/2022;21000;25055.51
07/09/2022;17000;14663.89
06/09/2022;15000;9783.58
05/09/2022;14000;9720.03
04/09/2022;15000;13983.87
01/09/2022;23000;19701
31/08/2022;21000;17618
30/08/2022;18000;11874
29/08/2022;14000;15629
