date,roles
2023-05-30 21:00,"Sur appel | Aide-serveur, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, BS_3"
2023-05-30 21:30,"Sur appel | Aide-serveur, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, BS_3"
2023-05-30 22:00,"Sur appel | Aide-serveur, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_3"
2023-05-30 22:30,"Sur appel | Aide-serveur, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_3"
2023-05-30 23:00,"Aide-serveur_2, Passe Plat_2, BS_3"
2023-05-30 23:30,"Aide-serveur_2, Passe Plat_2, BS_3"
2023-05-30 00:00,"Aide-serveur_2, Passe Plat_2, BS_3"
2023-05-30 00:30,Aide-serveur_2
2023-05-30 01:00,Aide-serveur_2
2023-05-31 10:30,"BS, Hôtesse bookenda_2, Hôtesse bookenda"
2023-05-31 11:00,"Sur appel | Aide-serveur, BS, Hôtesse bookenda_2, Passe Plat, Hôtesse bookenda"
2023-05-31 11:30,"Sur appel | Aide-serveur, BS, Hôtesse bookenda_2, Passe Plat, Hôtesse bookenda"
2023-05-31 12:00,"Sur appel | Aide-serveur, BS, Hôtesse bookenda_2, Passe Plat, Hôtesse bookenda"
2023-05-31 12:30,"Sur appel | Aide-serveur, BS, Hôtesse bookenda_2, Passe Plat, Hôtesse bookenda"
2023-05-31 13:00,"Sur appel | Aide-serveur, BS, Hôtesse bookenda_2, Passe Plat, Hôtesse bookenda"
2023-05-31 13:30,"Sur appel | Aide-serveur, BS, Hôtesse bookenda_2, Passe Plat, Hôtesse bookenda"
2023-05-31 14:00,"BS, Hôtesse bookenda_2, Passe Plat"
2023-05-31 14:30,"BS, Hôtesse bookenda_2, Passe Plat"
2023-05-31 15:00,"BS, Hôtesse bookenda_2, Hôtesse bookenda_3, Passe Plat"
2023-05-31 15:30,"BS, Hôtesse bookenda_2, Hôtesse bookenda_3, Passe Plat"
2023-05-31 16:00,"Aide-serveur, Passe Plat, Aide-serveur_2, Hôtesse bookenda_3, BS_2, Hôte"
2023-05-31 16:30,"Aide-serveur, Passe Plat, Aide-serveur_2, Hôtesse bookenda_3, BS_2, Hôte"
2023-05-31 17:00,"Aide-serveur, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-05-31 17:30,"Aide-serveur, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-05-31 18:00,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-05-31 18:30,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-05-31 19:00,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-05-31 19:30,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
