Total,Plu,Description,Qté_11,Mnt_11,Qté_21,Mnt_21,Qté_31,Mnt_31,Qté_41,Mnt_41,Qté_51,Mnt_51,Qté_12,Mnt_12,Qté_22,Mnt_22,Qté_32,Mnt_32,Qté_42,Mnt_42,Qté_52,Mnt_52,Qté_13,Mnt_13,Qté_23,Mnt_23,Qté_33,Mnt_33,Qté_43,Mnt_43,Qté_53,Mnt_53
"""""","""""","""""",175778.00,1940429.36,52095.00,435155.39,149482.00,1354016.46,250374.00,2240751.81,627729.00,5970353.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"""""","""1025""","""FUT LIGNE 3 DG""",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"""""","""105""","""B2F1""",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"""AILES""","""11010001""","""8 AILES BUFFALO""",8806.00,101582.17,3049.00,37126.38,10255.00,120995.87,17214.00,202511.13,39324.00,462215.55,8806.00,101582.17,3049.00,37126.38,10255.00,120995.87,17214.00,202511.13,39324.00,462215.55,8806.00,101582.17,3049.00,37126.38,10255.00,120995.87,17214.00,202511.13,39324.00,462215.55
"""AILES""","""11010002""","""16 AILES BUFFALO""",3636.00,73915.20,1463.00,30864.69,5474.00,112362.73,11072.00,226717.95,21645.00,443860.57,12442.00,175497.37,4512.00,67991.07,15729.00,233358.60,28286.00,429229.08,60969.00,906076.12,12442.00,175497.37,4512.00,67991.07,15729.00,233358.60,28286.00,429229.08,60969.00,906076.12
"""AILES""","""11010005""","""16 AILES MIXTES""",253.00,5185.48,82.00,1665.48,484.00,9892.71,896.00,18224.54,1715.00,34968.21,12695.00,180682.85,4594.00,69656.55,16213.00,243251.31,29182.00,447453.62,62684.00,941044.33,12695.00,180682.85,4594.00,69656.55,16213.00,243251.31,29182.00,447453.62,62684.00,941044.33
"""AILES""","""11010008""","""24 AILES MIXTES""",991.00,6658.78,223.00,1721.03,960.00,7083.09,1149.00,10075.89,3323.00,25538.79,13686.00,187341.63,4817.00,71377.58,17173.00,250334.40,30331.00,457529.51,66007.00,966583.12,13686.00,187341.63,4817.00,71377.58,17173.00,250334.40,30331.00,457529.51,66007.00,966583.12
"""AILES""","""11010011""","""8 AILES 911""",1986.00,23313.43,746.00,9324.76,2004.00,23862.58,3660.00,42962.15,8396.00,99462.92,15672.00,210655.06,5563.00,80702.34,19177.00,274196.98,33991.00,500491.66,74403.00,1066046.04,15672.00,210655.06,5563.00,80702.34,19177.00,274196.98,33991.00,500491.66,74403.00,1066046.04
"""AILES""","""11010012""","""16 AILES 911""",774.00,15831.88,427.00,9194.33,1020.00,21033.28,2270.00,46624.46,4491.00,92683.95,16446.00,226486.94,5990.00,89896.67,20197.00,295230.26,36261.00,547116.12,78894.00,1158729.99,16446.00,226486.94,5990.00,89896.67,20197.00,295230.26,36261.00,547116.12,78894.00,1158729.99
"""AILES""","""11010049""","""4 AILES 911""",34.00,220.94,17.00,114.50,23.00,144.46,44.00,281.82,118.00,761.72,16480.00,226707.88,6007.00,90011.17,20220.00,295374.72,36305.00,547397.94,79012.00,1159491.71,16480.00,226707.88,6007.00,90011.17,20220.00,295374.72,36305.00,547397.94,79012.00,1159491.71
"""AILES""","""11010050""","""4 AILES BUFFALO""",99.00,653.19,26.00,168.26,85.00,542.46,142.00,881.48,352.00,2245.39,16579.00,227361.07,6033.00,90179.43,20305.00,295917.18,36447.00,548279.42,79364.00,1161737.10,16579.00,227361.07,6033.00,90179.43,20305.00,295917.18,36447.00,548279.42,79364.00,1161737.10
"""AILES""","""11010135""","""24 AILES BUFFALO""",985.00,27540.39,482.00,14365.85,2071.00,58911.15,4259.00,119258.67,7797.00,220076.06,17564.00,254901.46,6515.00,104545.28,22376.00,354828.33,40706.00,667538.09,87161.00,1381813.16,17564.00,254901.46,6515.00,104545.28,22376.00,354828.33,40706.00,667538.09,87161.00,1381813.16
"""AILES""","""11010136""","""24 AILES 911""",302.00,8698.31,101.00,3045.79,389.00,11060.59,960.00,27043.14,1752.00,49847.83,17866.00,263599.77,6616.00,107591.07,22765.00,365888.92,41666.00,694581.23,88913.00,1431660.99,17866.00,263599.77,6616.00,107591.07,22765.00,365888.92,41666.00,694581.23,88913.00,1431660.99
"""AILES""","""11010262""","""8 AILES SEL/P""",2542.00,30337.48,1175.00,14593.75,3584.00,43254.59,6129.00,73377.49,13430.00,161563.31,20408.00,293937.25,7791.00,122184.82,26349.00,409143.51,47795.00,767958.72,102343.00,1593224.30,20408.00,293937.25,7791.00,122184.82,26349.00,409143.51,47795.00,767958.72,102343.00,1593224.30
"""AILES""","""11010263""","""16 AILES SEL/P""",843.00,17496.47,457.00,9887.29,1391.00,29156.79,2524.00,52653.49,5215.00,109194.04,21251.00,311433.72,8248.00,132072.11,27740.00,438300.30,50319.00,820612.21,107558.00,1702418.34,21251.00,311433.72,8248.00,132072.11,27740.00,438300.30,50319.00,820612.21,107558.00,1702418.34
"""AILES""","""11010266""","""4 AILES SEL/P""",26.00,173.75,12.00,81.00,23.00,147.26,62.00,389.59,123.00,791.60,21277.00,311607.47,8260.00,132153.11,27763.00,438447.56,50381.00,821001.80,107681.00,1703209.94,21277.00,311607.47,8260.00,132153.11,27763.00,438447.56,50381.00,821001.80,107681.00,1703209.94
"""AILES""","""11010268""","""24 AILES SEL/P""",255.00,7239.09,167.00,5182.62,559.00,16292.85,1124.00,32361.24,2105.00,61075.80,21532.00,318846.56,8427.00,137335.73,28322.00,454740.41,51505.00,853363.04,109786.00,1764285.74,21532.00,318846.56,8427.00,137335.73,28322.00,454740.41,51505.00,853363.04,109786.00,1764285.74
"""AILES""","""11150772""","""AILES BUFFALO FRITES""",3038.00,41144.77,0.00,0.00,2.00,30.00,7.00,105.50,3047.00,41280.27,24570.00,359991.33,8427.00,137335.73,28324.00,454770.41,51512.00,853468.54,112833.00,1805566.01,24570.00,359991.33,8427.00,137335.73,28324.00,454770.41,51512.00,853468.54,112833.00,1805566.01
"""AILES""","""11150773""","""AILES 911 FRITES""",757.00,10261.12,0.00,0.00,1.00,15.00,2.00,30.00,760.00,10306.12,25327.00,370252.45,8427.00,137335.73,28325.00,454785.41,51514.00,853498.54,113593.00,1815872.13,25327.00,370252.45,8427.00,137335.73,28325.00,454785.41,51514.00,853498.54,113593.00,1815872.13
"""AILES""","""11150776""","""AILES SEL/P FRITES""",849.00,11634.54,0.00,0.00,1.00,15.00,3.00,45.00,853.00,11694.54,26176.00,381886.99,8427.00,137335.73,28326.00,454800.41,51517.00,853543.54,114446.00,1827566.67,26176.00,381886.99,8427.00,137335.73,28326.00,454800.41,51517.00,853543.54,114446.00,1827566.67
"""AJOUT EXTRA""","""11020202""","""PORTION FRITES""",603.00,3085.52,136.00,680.00,428.00,2351.51,771.00,4022.07,1938.00,10139.10,603.00,3085.52,136.00,680.00,428.00,2351.51,771.00,4022.07,1938.00,10139.10,26779.00,384972.51,8563.00,138015.73,28754.00,457151.92,52288.00,857565.61,116384.00,1837705.77
"""AJOUT EXTRA""","""11020203""","""POUTINE""",94.00,834.50,29.00,257.76,61.00,541.25,152.00,1345.02,336.00,2978.53,697.00,3920.02,165.00,937.76,489.00,2892.76,923.00,5367.09,2274.00,13117.63,26873.00,385807.01,8592.00,138273.49,28815.00,457693.17,52440.00,858910.63,116720.00,1840684.30
"""AJOUT EXTRA""","""11020271""","""POUTINE PLT BUFFALO""",16.00,254.75,7.00,105.00,11.00,303.51,20.00,465.01,54.00,1128.27,713.00,4174.77,172.00,1042.76,500.00,3196.27,943.00,5832.10,2328.00,14245.90,26889.00,386061.76,8599.00,138378.49,28826.00,457996.68,52460.00,859375.64,116774.00,1841812.57
"""AJOUT EXTRA""","""11100205""","""AJOUT FRITES DOUCES""",1308.00,6651.98,282.00,1428.38,1025.00,5200.51,1810.00,9221.30,4425.00,22502.17,2021.00,10826.75,454.00,2471.14,1525.00,8396.78,2753.00,15053.40,6753.00,36748.07,28197.00,392713.74,8881.00,139806.87,29851.00,463197.19,54270.00,868596.94,121199.00,1864314.74
"""AJOUT EXTRA""","""11100233""","""AJOUT RONDELLES""",127.00,1084.70,28.00,233.39,77.00,638.29,127.00,1070.79,359.00,3027.17,2148.00,11911.45,482.00,2704.53,1602.00,9035.07,2880.00,16124.19,7112.00,39775.24,28324.00,393798.44,8909.00,140040.26,29928.00,463835.48,54397.00,869667.73,121558.00,1867341.91
"""AJOUT EXTRA""","""11104997""","""AJOUT BOUCH PLT 1""",240.00,1298.87,64.00,343.50,374.00,2052.79,357.00,1925.31,1035.00,5620.47,2388.00,13210.32,546.00,3048.03,1976.00,11087.86,3237.00,18049.50,8147.00,45395.71,28564.00,395097.31,8973.00,140383.76,30302.00,465888.27,54754.00,871593.04,122593.00,1872962.38
"""AJOUT EXTRA""","""11104998""","""AJOUT BOUCH PLT 3""",6.00,16.50,1.00,2.75,6.00,21.00,13.00,35.75,26.00,76.00,2394.00,13226.82,547.00,3050.78,1982.00,11108.86,3250.00,18085.25,8173.00,45471.71,28570.00,395113.81,8974.00,140386.51,30308.00,465909.27,54767.00,871628.79,122619.00,1873038.38
"""AJOUT EXTRA""","""11105000""","""AJOUT MEL CREVETTES""",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2395.00,13226.82,547.00,3050.78,1982.00,11108.86,3250.00,18085.25,8174.00,45471.71,28571.00,395113.81,8974.00,140386.51,30308.00,465909.27,54767.00,871628.79,122620.00,1873038.38
"""AJOUT EXTRA""","""11105003""","""AJOUT FROM GRATIN""",2495.00,7297.71,802.00,2383.47,2545.00,7488.72,5033.00,14735.83,10875.00,31905.73,4890.00,20524.53,1349.00,5434.25,4527.00,18597.58,8283.00,32821.08,19049.00,77377.44,31066.00,402411.52,9776.00,142769.98,32853.00,473397.99,59800.00,886364.62,133495.00,1904944.11
"""AJOUT EXTRA""","""11105005""","""AJOUT FROM POUTINE""",286.00,930.58,34.00,105.46,122.00,377.41,324.00,1017.46,766.00,2430.91,5176.00,21455.11,1383.00,5539.71,4649.00,18974.99,8607.00,33838.54,19815.00,79808.35,31352.00,403342.10,9810.00,142875.44,32975.00,473775.40,60124.00,887382.08,134261.00,1907375.02
"""AJOUT EXTRA""","""11105006""","""AJOUT KIMCHI""",135.00,899.96,35.00,247.95,91.00,629.30,91.00,643.00,352.00,2420.21,5311.00,22355.07,1418.00,5787.66,4740.00,19604.29,8698.00,34481.54,20167.00,82228.56,31487.00,404242.06,9845.00,143123.39,33066.00,474404.70,60215.00,888025.08,134613.00,1909795.23
"""AJOUT EXTRA""","""11105007""","""AJOUT BACON 2""",437.00,1167.26,104.00,256.23,263.00,671.12,569.00,1405.95,1373.00,3500.56,5748.00,23522.33,1522.00,6043.89,5003.00,20275.41,9267.00,35887.49,21540.00,85729.12,31924.00,405409.32,9949.00,143379.62,33329.00,475075.82,60784.00,889431.03,135986.00,1913295.79
"""AJOUT EXTRA""","""11105009""","""AJOUT POITRINE BBQ""",613.00,3677.70,146.00,875.92,387.00,2321.85,776.00,4655.72,1922.00,11531.19,6361.00,27200.03,1668.00,6919.81,5390.00,22597.26,10043.00,40543.21,23462.00,97260.31,32537.00,409087.02,10095.00,144255.54,33716.00,477397.67,61560.00,894086.75,137908.00,1924826.98
"""AJOUT EXTRA""","""11105017""","""AJOUT PDT FOUR""",97.00,283.50,22.00,62.75,49.00,143.25,210.00,610.01,378.00,1099.51,6458.00,27483.53,1690.00,6982.56,5439.00,22740.51,10253.00,41153.22,23840.00,98359.82,32634.00,409370.52,10117.00,144318.29,33765.00,477540.92,61770.00,894696.76,138286.00,1925926.49
"""AJOUT EXTRA""","""11105019""","""AJOUT CRUDITES""",296.00,878.81,87.00,257.25,264.00,776.12,440.00,1293.55,1087.00,3205.73,6754.00,28362.34,1777.00,7239.81,5703.00,23516.63,10693.00,42446.77,24927.00,101565.55,32930.00,410249.33,10204.00,144575.54,34029.00,478317.04,62210.00,895990.31,139373.00,1929132.22
"""AJOUT EXTRA""","""11105034""","""CHOIX VIANDE BLANCHE""",16.00,32.00,5.00,10.00,7.00,14.00,17.00,34.01,45.00,90.01,6770.00,28394.34,1782.00,7249.81,5710.00,23530.63,10710.00,42480.78,24972.00,101655.56,32946.00,410281.33,10209.00,144585.54,34036.00,478331.04,62227.00,896024.32,139418.00,1929222.23
"""AJOUT EXTRA""","""11105036""","""AJOUT G.IMPOSSIBLE""",26.00,161.25,2.00,12.00,13.00,80.75,11.00,72.75,52.00,326.75,6796.00,28555.59,1784.00,7261.81,5723.00,23611.38,10721.00,42553.53,25024.00,101982.31,32972.00,410442.58,10211.00,144597.54,34049.00,478411.79,62238.00,896097.07,139470.00,1929548.98
"""AJOUT EXTRA""","""11105045""","""AJOUT RIZ""",148.00,307.50,76.00,156.49,134.00,282.94,308.00,652.12,666.00,1399.05,6944.00,28863.09,1860.00,7418.30,5857.00,23894.32,11029.00,43205.65,25690.00,103381.36,33120.00,410750.08,10287.00,144754.03,34183.00,478694.73,62546.00,896749.19,140136.00,1930948.03
"""AJOUT EXTRA""","""11105049""","""AJOUT PUREE""",209.00,445.72,72.00,150.00,81.00,172.23,286.00,606.74,648.00,1374.69,7153.00,29308.81,1932.00,7568.30,5938.00,24066.55,11315.00,43812.39,26338.00,104756.05,33329.00,411195.80,10359.00,144904.03,34264.00,478866.96,62832.00,897355.93,140784.00,1932322.72
"""AJOUT EXTRA""","""11105052""","""AJOUT 1/2 COTE""",10.00,119.50,3.00,37.00,6.00,73.50,35.00,392.48,54.00,622.48,7163.00,29428.31,1935.00,7605.30,5944.00,24140.05,11350.00,44204.87,26392.00,105378.53,33339.00,411315.30,10362.00,144941.03,34270.00,478940.46,62867.00,897748.41,140838.00,1932945.20
"""AJOUT EXTRA""","""11105053""","""AJOUT PAIN BAG GRILL""",283.00,532.78,49.00,98.25,120.00,233.72,250.00,515.26,702.00,1380.01,7446.00,29961.09,1984.00,7703.55,6064.00,24373.77,11600.00,44720.13,27094.00,106758.54,33622.00,411848.08,10411.00,145039.28,34390.00,479174.18,63117.00,898263.67,141540.00,1934325.21
"""AJOUT EXTRA""","""11105054""","""AJOUT PAIN AIL""",1.00,4.99,0.00,0.00,0.00,0.00,2.00,9.98,3.00,14.97,7447.00,29966.08,1984.00,7703.55,6064.00,24373.77,11602.00,44730.11,27097.00,106773.51,33623.00,411853.07,10411.00,145039.28,34390.00,479174.18,63119.00,898273.65,141543.00,1934340.18
"""AJOUT EXTRA""","""11105070""","""AJOUT SAUCISSES ITAL""",11.00,35.75,1.00,3.25,2.00,6.50,5.00,16.25,19.00,61.75,7458.00,30001.83,1985.00,7706.80,6066.00,24380.27,11607.00,44746.36,27116.00,106835.26,33634.00,411888.82,10412.00,145042.53,34392.00,479180.68,63124.00,898289.90,141562.00,1934401.93
"""AJOUT EXTRA""","""11105081""","""AJOUT FETA 30g""",37.00,50.66,6.00,7.50,11.00,15.25,41.00,57.73,95.00,131.14,7495.00,30052.49,1991.00,7714.30,6077.00,24395.52,11648.00,44804.09,27211.00,106966.40,33671.00,411939.48,10418.00,145050.03,34403.00,479195.93,63165.00,898347.63,141657.00,1934533.07
"""AJOUT EXTRA""","""11105082""","""AJOUT RILLETTE PLT""",14.00,125.00,1.00,8.75,2.00,18.00,8.00,71.00,25.00,222.75,7509.00,30177.49,1992.00,7723.05,6079.00,24413.52,11656.00,44875.09,27236.00,107189.15,33685.00,412064.48,10419.00,145058.78,34405.00,479213.93,63173.00,898418.63,141682.00,1934755.82
"""AJOUT EXTRA""","""11105083""","""AJOUT BLITZ""",38.00,525.28,11.00,145.27,32.00,422.98,72.00,947.48,153.00,2041.01,7547.00,30702.77,2003.00,7868.32,6111.00,24836.50,11728.00,45822.57,27389.00,109230.16,33723.00,412589.76,10430.00,145204.05,34437.00,479636.91,63245.00,899366.11,141835.00,1936796.83
"""AJOUT EXTRA""","""11105090""","""AJOUT GUACAMOLE""",373.00,795.45,137.00,299.42,835.00,1821.86,1213.00,2658.25,2558.00,5574.98,7920.00,31498.22,2140.00,8167.74,6946.00,26658.36,12941.00,48480.82,29947.00,114805.14,34096.00,413385.21,10567.00,145503.47,35272.00,481458.77,64458.00,902024.36,144393.00,1942371.81
"""AJOUT EXTRA""","""11105096""","""AJOUT PDT GARNIE""",34.00,181.00,7.00,38.00,39.00,209.50,58.00,309.98,138.00,738.48,7954.00,31679.22,2147.00,8205.74,6985.00,26867.86,12999.00,48790.80,30085.00,115543.62,34130.00,413566.21,10574.00,145541.47,35311.00,481668.27,64516.00,902334.34,144531.00,1943110.29
"""AJOUT EXTRA""","""11105097""","""AJOUT COPPA""",10.00,20.00,4.00,8.00,3.00,6.00,5.00,10.00,22.00,44.00,7964.00,31699.22,2151.00,8213.74,6988.00,26873.86,13004.00,48800.80,30107.00,115587.62,34140.00,413586.21,10578.00,145549.47,35314.00,481674.27,64521.00,902344.34,144553.00,1943154.29
"""AJOUT EXTRA""","""11105101""","""AJOUT WRAP PLT""",20.00,259.43,5.00,59.25,8.00,83.25,31.00,363.75,64.00,765.68,7984.00,31958.65,2156.00,8272.99,6996.00,26957.11,13035.00,49164.55,30171.00,116353.30,34160.00,413845.64,10583.00,145608.72,35322.00,481757.52,64552.00,902708.09,144617.00,1943919.97
"""AJOUT EXTRA""","""11105104""","""AJOUT OEUF COLORE""",122.00,2043.50,20.00,335.00,142.00,2377.03,384.00,6416.32,668.00,11171.85,8106.00,34002.15,2176.00,8607.99,7138.00,29334.14,13419.00,55580.87,30839.00,127525.15,34282.00,415889.14,10603.00,145943.72,35464.00,484134.55,64936.00,909124.41,145285.00,1955091.82
"""AJOUT EXTRA""","""11105109""","""AJOUT FROM HAVARTI""",7.00,10.75,3.00,4.50,5.00,7.75,5.00,7.75,20.00,30.75,8113.00,34012.90,2179.00,8612.49,7143.00,29341.89,13424.00,55588.62,30859.00,127555.90,34289.00,415899.89,10606.00,145948.22,35469.00,484142.30,64941.00,909132.16,145305.00,1955122.57
"""AJOUT EXTRA""","""11105115""","""AJOUT GALETTE BOEUF""",78.00,486.00,18.00,109.00,35.00,223.50,80.00,486.03,211.00,1304.53,8191.00,34498.90,2197.00,8721.49,7178.00,29565.39,13504.00,56074.65,31070.00,128860.43,34367.00,416385.89,10624.00,146057.22,35504.00,484365.80,65021.00,909618.19,145516.00,1956427.10
"""AJOUT EXTRA""","""11105124""","""AJOUT GRATIN 30g""",36.00,56.50,11.00,16.75,51.00,82.01,61.00,94.02,159.00,249.28,8227.00,34555.40,2208.00,8738.24,7229.00,29647.40,13565.00,56168.67,31229.00,129109.71,34403.00,416442.39,10635.00,146073.97,35555.00,484447.81,65082.00,909712.21,145675.00,1956676.38
"""AJOUT EXTRA""","""11105130""","""AJOUT FILET SAUMON""",489.00,5663.97,97.00,1117.45,262.00,3074.38,463.00,5397.04,1311.00,15252.84,8716.00,40219.37,2305.00,9855.69,7491.00,32721.78,14028.00,61565.71,32540.00,144362.55,34892.00,422106.36,10732.00,147191.42,35817.00,487522.19,65545.00,915109.25,146986.00,1971929.22
"""AJOUT EXTRA""","""11105134""","""AJOUT CHAMP. AIL""",165.00,585.94,40.00,156.75,133.00,517.39,337.00,1300.41,675.00,2560.49,8881.00,40805.31,2345.00,10012.44,7624.00,33239.17,14365.00,62866.12,33215.00,146923.04,35057.00,422692.30,10772.00,147348.17,35950.00,488039.58,65882.00,916409.66,147661.00,1974489.71
"""AJOUT EXTRA""","""11105139""","""AJOUT CHAIR HOMARD""",9.00,94.00,2.00,24.00,5.00,58.00,11.00,128.00,27.00,304.00,8890.00,40899.31,2347.00,10036.44,7629.00,33297.17,14376.00,62994.12,33242.00,147227.04,35066.00,422786.30,10774.00,147372.17,35955.00,488097.58,65893.00,916537.66,147688.00,1974793.71
"""AJOUT EXTRA""","""11105143""","""AJOUT FILET PLT 3""",345.00,2158.41,77.00,474.48,244.00,1523.43,510.00,3186.33,1176.00,7342.65,9235.00,43057.72,2424.00,10510.92,7873.00,34820.60,14886.00,66180.45,34418.00,154569.69,35411.00,424944.71,10851.00,147846.65,36199.00,489621.01,66403.00,919723.99,148864.00,1982136.36
"""AJOUT EXTRA""","""11105147""","""AJOUT FROM CHEVRE""",27.00,48.75,11.00,20.01,18.00,33.50,30.00,56.50,86.00,158.76,9262.00,43106.47,2435.00,10530.93,7891.00,34854.10,14916.00,66236.95,34504.00,154728.45,35438.00,424993.46,10862.00,147866.66,36217.00,489654.51,66433.00,919780.49,148950.00,1982295.12
"""AJOUT EXTRA""","""11105151""","""AJOUT CHEDDAR""",428.00,624.51,113.00,164.73,320.00,467.57,541.00,788.95,1402.00,2045.76,9690.00,43730.98,2548.00,10695.66,8211.00,35321.67,15457.00,67025.90,35906.00,156774.21,35866.00,425617.97,10975.00,148031.39,36537.00,490122.08,66974.00,920569.44,150352.00,1984340.88
"""AJOUT EXTRA""","""11105156""","""AJOUT BRIE""",54.00,110.72,16.00,32.49,56.00,115.60,111.00,232.89,237.00,491.70,9744.00,43841.70,2564.00,10728.15,8267.00,35437.27,15568.00,67258.79,36143.00,157265.91,35920.00,425728.69,10991.00,148063.88,36593.00,490237.68,67085.00,920802.33,150589.00,1984832.58
"""AJOUT EXTRA""","""11105160""","""AJOUT AVOCAT""",461.00,519.02,143.00,154.50,339.00,389.69,707.00,803.83,1650.00,1867.04,10205.00,44360.72,2707.00,10882.65,8606.00,35826.96,16275.00,68062.62,37793.00,159132.95,36381.00,426247.71,11134.00,148218.38,36932.00,490627.37,67792.00,921606.16,152239.00,1986699.62
"""AJOUT EXTRA""","""11105162""","""AJOUT FETA 60g""",32.00,82.99,10.00,25.50,20.00,53.00,30.00,84.00,92.00,245.49,10237.00,44443.71,2717.00,10908.15,8626.00,35879.96,16305.00,68146.62,37885.00,159378.44,36413.00,426330.70,11144.00,148243.88,36952.00,490680.37,67822.00,921690.16,152331.00,1986945.11
"""AJOUT EXTRA""","""11105163""","""AJOUT GRECQUE""",201.00,1117.14,25.00,140.75,155.00,868.75,195.00,1088.42,576.00,3215.06,10438.00,45560.85,2742.00,11048.90,8781.00,36748.71,16500.00,69235.04,38461.00,162593.50,36614.00,427447.84,11169.00,148384.63,37107.00,491549.12,68017.00,922778.58,152907.00,1990160.17
"""AJOUT EXTRA""","""11105168""","""AJOUT FILET PLT 1""",72.00,171.96,19.00,43.21,61.00,144.32,111.00,257.29,263.00,616.78,10510.00,45732.81,2761.00,11092.11,8842.00,36893.03,16611.00,69492.33,38724.00,163210.28,36686.00,427619.80,11188.00,148427.84,37168.00,491693.44,68128.00,923035.87,153170.00,1990776.95
"""AJOUT EXTRA""","""11105173""","""AJOUT CESAR""",577.00,3289.42,85.00,485.50,304.00,1709.39,502.00,2855.08,1468.00,8339.39,11087.00,49022.23,2846.00,11577.61,9146.00,38602.42,17113.00,72347.41,40192.00,171549.67,37263.00,430909.22,11273.00,148913.34,37472.00,493402.83,68630.00,925890.95,154638.00,1999116.34
"""AJOUT EXTRA""","""11105175""","""AJOUT STK FILET MIGN""",7.00,27.93,2.00,7.98,1.00,3.99,0.00,0.00,10.00,39.90,11094.00,49050.16,2848.00,11585.59,9147.00,38606.41,17113.00,72347.41,40202.00,171589.57,37270.00,430937.15,11275.00,148921.32,37473.00,493406.82,68630.00,925890.95,154648.00,1999156.24
"""AJOUT EXTRA""","""11105182""","""AJOUT 1/2 FOCACCIA""",127.00,202.00,33.00,52.51,42.00,68.25,110.00,175.53,312.00,498.29,11221.00,49252.16,2881.00,11638.10,9189.00,38674.66,17223.00,72522.94,40514.00,172087.86,37397.00,431139.15,11308.00,148973.83,37515.00,493475.07,68740.00,926066.48,154960.00,1999654.53
"""AJOUT EXTRA""","""11105183""","""AJOUT FILET MORUE""",6.00,49.50,4.00,32.75,8.00,69.25,7.00,57.50,25.00,209.00,11227.00,49301.66,2885.00,11670.85,9197.00,38743.91,17230.00,72580.44,40539.00,172296.86,37403.00,431188.65,11312.00,149006.58,37523.00,493544.32,68747.00,926123.98,154985.00,1999863.53
"""AJOUT EXTRA""","""11105185""","""AJOUT POIT PLT LIME""",879.00,6001.75,245.00,1697.95,971.00,6746.47,1844.00,12778.96,3939.00,27225.13,12106.00,55303.41,3130.00,13368.80,10168.00,45490.38,19074.00,85359.40,44478.00,199521.99,38282.00,437190.40,11557.00,150704.53,38494.00,500290.79,70591.00,938902.94,158924.00,2027088.66
"""AJOUT EXTRA""","""11105188""","""AJOUT OIGNONS CARAM""",15.00,41.25,4.00,11.00,8.00,22.00,26.00,71.50,53.00,145.75,12121.00,55344.66,3134.00,13379.80,10176.00,45512.38,19100.00,85430.90,44531.00,199667.74,38297.00,437231.65,11561.00,150715.53,38502.00,500312.79,70617.00,938974.44,158977.00,2027234.41
"""AJOUT EXTRA""","""11105189""","""AJOUT OEUF POCHE""",838.00,1351.02,254.00,419.52,650.00,1067.26,1413.00,2356.85,3155.00,5194.65,12959.00,56695.68,3388.00,13799.32,10826.00,46579.64,20513.00,87787.75,47686.00,204862.39,39135.00,438582.67,11815.00,151135.05,39152.00,501380.05,72030.00,941331.29,162132.00,2032429.06
"""AJOUT EXTRA""","""11105191""","""AJOUT CUBE SAUMON""",105.00,765.50,20.00,151.50,40.00,302.50,131.00,998.50,296.00,2218.00,13064.00,57461.18,3408.00,13950.82,10866.00,46882.14,20644.00,88786.25,47982.00,207080.39,39240.00,439348.17,11835.00,151286.55,39192.00,501682.55,72161.00,942329.79,162428.00,2034647.06
"""AJOUT EXTRA""","""11105194""","""AJOUT EFF JAMBON""",19.00,61.25,1.00,3.00,3.00,9.00,10.00,32.25,33.00,105.50,13083.00,57522.43,3409.00,13953.82,10869.00,46891.14,20654.00,88818.50,48015.00,207185.89,39259.00,439409.42,11836.00,151289.55,39195.00,501691.55,72171.00,942362.04,162461.00,2034752.56
"""AJOUT EXTRA""","""11105195""","""AJOUT TOFU GRILLE""",147.00,489.50,23.00,77.00,96.00,315.50,185.00,617.50,451.00,1499.50,13230.00,58011.93,3432.00,14030.82,10965.00,47206.64,20839.00,89436.00,48466.00,208685.39,39406.00,439898.92,11859.00,151366.55,39291.00,502007.05,72356.00,942979.54,162912.00,2036252.06
"""AJOUT EXTRA""","""11105196""","""AJOUT STK MOISHES""",65.00,670.99,17.00,212.00,54.00,710.46,125.00,1622.44,261.00,3215.89,13295.00,58682.92,3449.00,14242.82,11019.00,47917.10,20964.00,91058.44,48727.00,211901.28,39471.00,440569.91,11876.00,151578.55,39345.00,502717.51,72481.00,944601.98,163173.00,2039467.95
"""AJOUT EXTRA""","""11105197""","""AJOUT FROMAGE BLEU""",4.00,8.00,0.00,0.00,6.00,13.00,5.00,10.75,15.00,31.75,13299.00,58690.92,3449.00,14242.82,11025.00,47930.10,20969.00,91069.19,48742.00,211933.03,39475.00,440577.91,11876.00,151578.55,39351.00,502730.51,72486.00,944612.73,163188.00,2039499.70
"""AJOUT EXTRA""","""11105198""","""AJOUT CREVETTES BANG""",376.00,1655.85,21.00,94.00,96.00,427.20,252.00,1123.95,745.00,3301.00,13675.00,60346.77,3470.00,14336.82,11121.00,48357.30,21221.00,92193.14,49487.00,215234.03,39851.00,442233.76,11897.00,151672.55,39447.00,503157.71,72738.00,945736.68,163933.00,2042800.70
