Total,Plu,Description,Qté_11,Mnt_11,Qté_21,Mnt_21,Qté_31,Mnt_31,Qté_41,Mnt_41,Qté_51,Mnt_51,Qté_12,Mnt_12,Qté_22,Mnt_22,Qté_32,Mnt_32,Qté_42,Mnt_42,Qté_52,Mnt_52,Qté_13,Mnt_13,Qté_23,Mnt_23,Qté_33,Mnt_33,Qté_43,Mnt_43,Qté_53,Mnt_53
"""REMARQUE""","""11398595""","""REM-NATURE""",0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,5.00,0.00,103491.00,5657.50,20679.00,442.75,90833.00,4987.56,152463.00,4168.91,367466.00,15256.72,829478.00,4237516.72,214929.00,1388543.61,791741.00,5099896.35,1307818.00,8287837.63,3143966.00,19013794.31
"""REMARQUE""","""11398599""","""REM-PAS FAIRE""",360.00,0.00,101.00,0.00,251.00,0.00,677.00,0.00,1389.00,0.00,103851.00,5657.50,20780.00,442.75,91084.00,4987.56,153140.00,4168.91,368855.00,15256.72,829838.00,4237516.72,215030.00,1388543.61,791992.00,5099896.35,1308495.00,8287837.63,3145355.00,19013794.31
"""REMARQUE""","""11398603""","""REM-PICO DE GALLO""",58.00,0.00,28.00,0.00,89.00,0.00,211.00,0.00,386.00,0.00,103909.00,5657.50,20808.00,442.75,91173.00,4987.56,153351.00,4168.91,369241.00,15256.72,829896.00,4237516.72,215058.00,1388543.61,792081.00,5099896.35,1308706.00,8287837.63,3145741.00,19013794.31
"""REMARQUE""","""11398604""","""REM-PICO DE GALLO/CR""",5107.00,0.00,2356.00,0.00,11733.00,0.00,19400.00,0.00,38596.00,0.00,109016.00,5657.50,23164.00,442.75,102906.00,4987.56,172751.00,4168.91,407837.00,15256.72,835003.00,4237516.72,217414.00,1388543.61,803814.00,5099896.35,1328106.00,8287837.63,3184337.00,19013794.31
"""REMARQUE""","""11398605""","""CROUTONS INC""",542.00,0.00,253.00,0.00,731.00,0.00,920.00,0.00,2446.00,0.00,109558.00,5657.50,23417.00,442.75,103637.00,4987.56,173671.00,4168.91,410283.00,15256.72,835545.00,4237516.72,217667.00,1388543.61,804545.00,5099896.35,1329026.00,8287837.63,3186783.00,19013794.31
"""REMARQUE""","""11398610""","""REM-POUR DEUX""",135.00,0.00,40.00,0.00,172.00,0.00,232.00,0.00,579.00,0.00,109693.00,5657.50,23457.00,442.75,103809.00,4987.56,173903.00,4168.91,410862.00,15256.72,835680.00,4237516.72,217707.00,1388543.61,804717.00,5099896.35,1329258.00,8287837.63,3187362.00,19013794.31
"""REMARQUE""","""11398620""","""REM-POUR EMPORTER""",255.00,0.00,31.00,0.00,68.00,0.00,178.00,0.00,532.00,0.00,109948.00,5657.50,23488.00,442.75,103877.00,4987.56,174081.00,4168.91,411394.00,15256.72,835935.00,4237516.72,217738.00,1388543.61,804785.00,5099896.35,1329436.00,8287837.63,3187894.00,19013794.31
"""REMARQUE""","""11398621""","""REM-SANS BACON""",446.00,0.00,78.00,0.00,237.00,0.00,720.00,0.00,1481.00,0.00,110394.00,5657.50,23566.00,442.75,104114.00,4987.56,174801.00,4168.91,412875.00,15256.72,836381.00,4237516.72,217816.00,1388543.61,805022.00,5099896.35,1330156.00,8287837.63,3189375.00,19013794.31
"""REMARQUE""","""11398622""","""REM-SANS BEURRE""",1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,4.00,0.00,110395.00,5657.50,23566.00,442.75,104116.00,4987.56,174802.00,4168.91,412879.00,15256.72,836382.00,4237516.72,217816.00,1388543.61,805024.00,5099896.35,1330157.00,8287837.63,3189379.00,19013794.31
"""REMARQUE""","""11398623""","""REM-SANS CHOCOLAT""",1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,110396.00,5657.50,23566.00,442.75,104116.00,4987.56,174803.00,4168.91,412881.00,15256.72,836383.00,4237516.72,217816.00,1388543.61,805024.00,5099896.35,1330158.00,8287837.63,3189381.00,19013794.31
"""REMARQUE""","""11398624""","""REM-SANS CORNICHON""",3.00,0.00,1.00,0.00,1.00,0.00,13.00,0.00,18.00,0.00,110399.00,5657.50,23567.00,442.75,104117.00,4987.56,174816.00,4168.91,412899.00,15256.72,836386.00,4237516.72,217817.00,1388543.61,805025.00,5099896.35,1330171.00,8287837.63,3189399.00,19013794.31
"""REMARQUE""","""11398625""","""REM-SANS CREME GLACE""",0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,110399.00,5657.50,23567.00,442.75,104119.00,4987.56,174816.00,4168.91,412901.00,15256.72,836386.00,4237516.72,217817.00,1388543.61,805027.00,5099896.35,1330171.00,8287837.63,3189401.00,19013794.31
"""REMARQUE""","""11398626""","""REM-SANS CROUTON""",18.00,0.00,2.00,0.00,5.00,0.00,15.00,0.00,40.00,0.00,110417.00,5657.50,23569.00,442.75,104124.00,4987.56,174831.00,4168.91,412941.00,15256.72,836404.00,4237516.72,217819.00,1388543.61,805032.00,5099896.35,1330186.00,8287837.63,3189441.00,19013794.31
"""REMARQUE""","""11398627""","""REM-SANS ECHALOTE""",1.00,0.00,0.00,0.00,2.00,0.00,4.00,0.00,7.00,0.00,110418.00,5657.50,23569.00,442.75,104126.00,4987.56,174835.00,4168.91,412948.00,15256.72,836405.00,4237516.72,217819.00,1388543.61,805034.00,5099896.35,1330190.00,8287837.63,3189448.00,19013794.31
"""REMARQUE""","""11398628""","""REM-SANS FROMAGE""",224.00,0.00,51.00,0.00,182.00,0.00,317.00,0.00,774.00,0.00,110642.00,5657.50,23620.00,442.75,104308.00,4987.56,175152.00,4168.91,413722.00,15256.72,836629.00,4237516.72,217870.00,1388543.61,805216.00,5099896.35,1330507.00,8287837.63,3190222.00,19013794.31
"""REMARQUE""","""11398630""","""REM-SANS NOIX""",4.00,0.00,0.00,0.00,2.00,0.00,6.00,0.00,12.00,0.00,110646.00,5657.50,23620.00,442.75,104310.00,4987.56,175158.00,4168.91,413734.00,15256.72,836633.00,4237516.72,217870.00,1388543.61,805218.00,5099896.35,1330513.00,8287837.63,3190234.00,19013794.31
"""REMARQUE""","""11398631""","""REM-SANS OIGNON""",543.00,0.00,87.00,0.00,389.00,0.00,827.00,0.00,1846.00,0.00,111189.00,5657.50,23707.00,442.75,104699.00,4987.56,175985.00,4168.91,415580.00,15256.72,837176.00,4237516.72,217957.00,1388543.61,805607.00,5099896.35,1331340.00,8287837.63,3192080.00,19013794.31
"""REMARQUE""","""11398632""","""REM-SANS OLIVE NOIRE""",28.00,0.00,15.00,0.00,69.00,0.00,148.00,0.00,260.00,0.00,111217.00,5657.50,23722.00,442.75,104768.00,4987.56,176133.00,4168.91,415840.00,15256.72,837204.00,4237516.72,217972.00,1388543.61,805676.00,5099896.35,1331488.00,8287837.63,3192340.00,19013794.31
"""REMARQUE""","""11398634""","""REM-SANS PIMENT""",13.00,0.00,4.00,0.00,23.00,0.00,55.00,0.00,95.00,0.00,111230.00,5657.50,23726.00,442.75,104791.00,4987.56,176188.00,4168.91,415935.00,15256.72,837217.00,4237516.72,217976.00,1388543.61,805699.00,5099896.35,1331543.00,8287837.63,3192435.00,19013794.31
"""REMARQUE""","""11398635""","""REM-SANS SALADE""",85.00,0.00,26.00,0.00,106.00,0.00,176.00,0.00,393.00,0.00,111315.00,5657.50,23752.00,442.75,104897.00,4987.56,176364.00,4168.91,416328.00,15256.72,837302.00,4237516.72,218002.00,1388543.61,805805.00,5099896.35,1331719.00,8287837.63,3192828.00,19013794.31
"""REMARQUE""","""11398636""","""REM-SANS SESAME""",3.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,6.00,0.00,111318.00,5657.50,23752.00,442.75,104898.00,4987.56,176366.00,4168.91,416334.00,15256.72,837305.00,4237516.72,218002.00,1388543.61,805806.00,5099896.35,1331721.00,8287837.63,3192834.00,19013794.31
"""REMARQUE""","""11398637""","""REM-SANS TOMATE""",419.00,0.00,93.00,0.00,325.00,0.00,730.00,0.00,1567.00,0.00,111737.00,5657.50,23845.00,442.75,105223.00,4987.56,177096.00,4168.91,417901.00,15256.72,837724.00,4237516.72,218095.00,1388543.61,806131.00,5099896.35,1332451.00,8287837.63,3194401.00,19013794.31
"""REMARQUE""","""11398638""","""REM-SANS VINAIGRETTE""",300.00,0.00,78.00,0.00,222.00,0.00,443.00,0.00,1043.00,0.00,112037.00,5657.50,23923.00,442.75,105445.00,4987.56,177539.00,4168.91,418944.00,15256.72,838024.00,4237516.72,218173.00,1388543.61,806353.00,5099896.35,1332894.00,8287837.63,3195444.00,19013794.31
"""REMARQUE""","""11398639""","""REM-SANS SAUCE""",1271.00,0.00,360.00,0.00,1483.00,0.00,2857.00,0.00,5971.00,0.00,113308.00,5657.50,24283.00,442.75,106928.00,4987.56,180396.00,4168.91,424915.00,15256.72,839295.00,4237516.72,218533.00,1388543.61,807836.00,5099896.35,1335751.00,8287837.63,3201415.00,19013794.31
"""REMARQUE""","""11398641""","""REM-SANS WORCESTERSH""",4.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,6.00,0.00,113312.00,5657.50,24283.00,442.75,106929.00,4987.56,180397.00,4168.91,424921.00,15256.72,839299.00,4237516.72,218533.00,1388543.61,807837.00,5099896.35,1335752.00,8287837.63,3201421.00,19013794.31
"""REMARQUE""","""11398643""","""SANS CREME SURE""",1.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,6.00,0.00,113313.00,5657.50,24283.00,442.75,106932.00,4987.56,180399.00,4168.91,424927.00,15256.72,839300.00,4237516.72,218533.00,1388543.61,807840.00,5099896.35,1335754.00,8287837.63,3201427.00,19013794.31
"""REMARQUE""","""11398645""","""SANS RONDELLES""",10.00,0.00,8.00,0.00,34.00,0.00,60.00,0.00,112.00,0.00,113323.00,5657.50,24291.00,442.75,106966.00,4987.56,180459.00,4168.91,425039.00,15256.72,839310.00,4237516.72,218541.00,1388543.61,807874.00,5099896.35,1335814.00,8287837.63,3201539.00,19013794.31
"""REMARQUE""","""11398646""","""SANS FRITES""",811.00,0.00,218.00,0.00,1189.00,0.00,2221.00,0.00,4439.00,0.00,114134.00,5657.50,24509.00,442.75,108155.00,4987.56,182680.00,4168.91,429478.00,15256.72,840121.00,4237516.72,218759.00,1388543.61,809063.00,5099896.35,1338035.00,8287837.63,3205978.00,19013794.31
"""REMARQUE""","""11398647""","""SANS LEG GRILLES""",0.00,0.00,0.00,0.00,1.00,0.00,8.00,0.00,9.00,0.00,114134.00,5657.50,24509.00,442.75,108156.00,4987.56,182688.00,4168.91,429487.00,15256.72,840121.00,4237516.72,218759.00,1388543.61,809064.00,5099896.35,1338043.00,8287837.63,3205987.00,19013794.31
"""REMARQUE""","""11398648""","""SANS PUREE""",8.00,0.00,6.00,0.00,42.00,0.00,113.00,0.00,169.00,0.00,114142.00,5657.50,24515.00,442.75,108198.00,4987.56,182801.00,4168.91,429656.00,15256.72,840129.00,4237516.72,218765.00,1388543.61,809106.00,5099896.35,1338156.00,8287837.63,3206156.00,19013794.31
"""REMARQUE""","""11398650""","""REM-AVEC PAILLE""",107.00,0.00,21.00,0.00,155.00,0.00,191.00,0.00,474.00,0.00,114249.00,5657.50,24536.00,442.75,108353.00,4987.56,182992.00,4168.91,430130.00,15256.72,840236.00,4237516.72,218786.00,1388543.61,809261.00,5099896.35,1338347.00,8287837.63,3206630.00,19013794.31
